qid,query,word_count,length_bin
0,هل عدم القيام بجهد جسماني ممكن ان يسبب الأرق؟,9,Long (9+)
29,ما هي منظمة الاوبك ؟,5,Medium (4-8)
31,متى تأسست شركة الفودافون؟,4,Medium (4-8)
32,متى عاش إبن الهيثم ؟,5,Medium (4-8)
34,متى توفيت فاتن حمامة؟,4,Medium (4-8)
35,متى عقدت الجمعية البرلمانية لمجلس أوروبا دورتها الأولى؟,8,Medium (4-8)
42,ما هو المدفع الجيني؟,4,Medium (4-8)
47,من اخترع لغة البايثون؟,4,Medium (4-8)
57,هل تعد النعامة أكبر الطيورحجماً في العالم؟,7,Medium (4-8)
60,من هو مؤلف سلسلة حرب النجوم؟,6,Medium (4-8)
67,من هو إسحق النينوي؟,4,Medium (4-8)
73,من مؤسس الكنيسة القبطية ؟,5,Medium (4-8)
77,ما هو أقدم متحف في العالم ؟,7,Medium (4-8)
84,كم يوم يصوم المسلمون في رمضان؟,6,Medium (4-8)
88,كم تبلغ اقصى درجة حرارة في الصيف في الاردن؟,9,Long (9+)
97,متى تأسست الجمهورية المجرية السوفييتية؟,5,Medium (4-8)
98,متى حدثة المحرقة ؟,4,Medium (4-8)
104,كم عدد أعضاء مجلس الأمة الكويتي؟,6,Medium (4-8)
107,متى تم اعدام عمر المختار ؟,6,Medium (4-8)
108,ما هي عاصمة مونتينيغرو ؟,5,Medium (4-8)
110,ماهى أعلى قمة لجبال الهيملايا ؟,6,Medium (4-8)
112,متى هاجر الرسول محمد من مكة إلى المدينة ؟,9,Long (9+)
118,متى استقلت لبنان ؟,4,Medium (4-8)
125,هل يعد ثاني أكسيد الكبريت أحد مكونات الأمطار الحامضية؟,9,Long (9+)
126,متى ولد الملك الناصر ناصر الدين محمد بن قلاوون ؟,10,Long (9+)
134,كم عدد سكان  فلسطين؟,4,Medium (4-8)
143,متى أغتيل الطفل محمد الدرة ؟,6,Medium (4-8)
147,ما هي اشهر اعمال الممثل ادوارد نورتون؟,7,Medium (4-8)
150,ماهي مساحة مصر؟,3,Short (1-3)
151,ماهي مساحة بلجيكا؟,3,Short (1-3)
160,ما أول أبحاث ماري سكوودوفسكا كوري؟,6,Medium (4-8)
162,ماهو الفكر الصهيوني ؟,4,Medium (4-8)
163,متى ولدت المذيعة الامريكية مارثا ستيوارت؟,6,Medium (4-8)
164,"من مؤلف كتاب ""من أمريكا إلى الشاطئ الآخر""؟",8,Medium (4-8)
183,كم تبلغ المسافة بين مدينة الزرقاء والعاصمة الاردنية عمان؟,9,Long (9+)
184,ما هي عملية اضمحلال الجسيمات؟,5,Medium (4-8)
187,ما هي اليونسكو ؟,4,Medium (4-8)
188,من هو نيكولاي ميخائيلوفتش كرامزين؟,5,Medium (4-8)
193,هل يحوي جدار الخلية النباتية على السليولوز؟,7,Medium (4-8)
196,في أي عام تم قصف الدار البيضاء؟,7,Medium (4-8)
197,من هي مارغريت تشان؟,4,Medium (4-8)
204,ما نظام الهواتف المحمولة هواوي؟,5,Medium (4-8)
207,كم يبلغ عدد المحافظات السورية؟,5,Medium (4-8)
210,متى أطلقت أول جمعية للرفق بالحيوان حول العالم؟,8,Medium (4-8)
211,في أي عام نالت غامبيا استقلالها من المملكة المتحدة؟,9,Long (9+)
222,ما هو علم الأجتماع ؟,5,Medium (4-8)
228,أين تقع مدينة ليكسوس؟,4,Medium (4-8)
238,ما هي الباطنية؟,3,Short (1-3)
243,مما تتكون المصطلحات التشريحية ؟,5,Medium (4-8)
244,متى تمّ أول إستعمال شبكة محلية لاسلكية ؟,8,Medium (4-8)
256,متى تأسست جامعة الدول العربية ؟,6,Medium (4-8)
262,متى ولدت الفنانة اللبنانية ماجدة الرومي؟,6,Medium (4-8)
276,ما هو عدد الخلفاء الراشدين؟,5,Medium (4-8)
284,متى حصلت الثورة الرومانية ضد حكم الدكتاتور تشاوشيسكو؟,8,Medium (4-8)
290,هل يسمح بزواج المثليين في المجر ؟,7,Medium (4-8)
299,ماهى مساحة مصر ؟,4,Medium (4-8)
